PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,Time in Seconds,Time
0,0,0,23.4817578125,27488,17.001232234907576,1012.2258802704129,8.529988042517857,1676507155.865963,2023-02-15 16:25:55.865971
0,0,0,23.4794140625,27776,16.991537995671024,1012.2219066421956,8.563098366379526,1676507157.058785,2023-02-15 16:25:57.058794
0,0,0,23.4762890625,27740,16.991378112372608,1012.2267624385902,8.522637375640308,1676507158.2517853,2023-02-15 16:25:58.251794
0,0,0,23.475703125,28052,16.996135118391795,1012.2325383268559,8.474509911288058,1676507159.4515362,2023-02-15 16:25:59.451545
0,0,0,23.47375,28220,16.99603516939984,1012.2292269267792,8.502102053784583,1676507160.6446097,2023-02-15 16:26:00.644618
0,0,0,23.4721875,28371,16.981594997090212,1012.2299624419261,8.495973389416214,1676507161.83761,2023-02-15 16:26:01.837618
0,0,0,23.4704296875,28601,16.991078345265223,1012.228674489231,8.506705230308583,1676507163.030608,2023-02-15 16:26:03.030617
0,0,0,23.467890625,28834,17.00052241746046,1012.2192927455937,8.584878761097706,1676507164.2235768,2023-02-15 16:26:04.223586
0,0,0,23.4657421875,29051,16.995625399868448,1012.222419416282,8.558825661774392,1676507165.4182994,2023-02-15 16:26:05.418308
0,0,0,23.4633984375,29071,16.981145599335495,1012.2218303169572,8.563734348736936,1676507166.6113822,2023-02-15 16:26:06.611391
0,0,0,23.4610546875,29394,17.00495973995075,1012.2195489102301,8.582744257330504,1676507167.8043048,2023-02-15 16:26:07.804314
0,0,0,23.4591015625,29435,17.004859755883764,1012.2213143427334,8.56803372060621,1676507168.9983814,2023-02-15 16:26:08.998389
0,0,0,23.4571484375,29599,17.014334662409265,1012.240002523813,8.412314980546324,1676507170.1927192,2023-02-15 16:26:10.192726
0,0,0,23.455390625,29786,17.014244634992927,1012.2319453618683,8.479450769011462,1676507171.3936887,2023-02-15 16:26:11.393697
0,0,0,23.452265625,29766,17.018872271665344,1012.2384928622686,8.424894106223979,1676507172.5879304,2023-02-15 16:26:12.587938
0,0,0,23.4503125,30211,17.013984565085412,1012.2368736180022,8.43838633744092,1676507173.7816777,2023-02-15 16:26:13.781685
0,0,0,23.448359375,30168,17.023460003798004,1012.2318698566377,8.480079913581957,1676507174.981611,2023-02-15 16:26:14.981618
0,0,0,23.4458203125,30494,17.037694505975892,1012.2174114239444,8.600554974827043,1676507176.1752162,2023-02-15 16:26:16.175224
0,0,0,23.443671875,30450,17.03758434721188,1012.2086920915051,8.673209588921818,1676507177.3761654,2023-02-15 16:26:17.376173
0,0,0,23.442109375,30450,17.047081534205198,1012.2161963607265,8.610679566913602,1676507178.57151,2023-02-15 16:26:18.571523
0,0,0,23.4409375,30759,17.05659949016448,1012.2192861809353,8.584933461429305,1676507179.766219,2023-02-15 16:26:19.766225
0,0,0,23.44015625,30916,17.056559393900688,1012.2264227507377,8.525467824266592,1676507180.9625404,2023-02-15 16:26:20.962546
0,0,0,23.4383984375,31258,17.042102470609695,1012.2234423906164,8.550301704388964,1676507182.1542203,2023-02-15 16:26:22.154226
0,0,0,23.435859375,31212,17.03718379075309,1012.2225218738879,8.557971931080745,1676507183.3490574,2023-02-15 16:26:23.349063
0,0,0,23.4346875,31490,17.041912164860623,1012.2323804975583,8.475825017553756,1676507184.542133,2023-02-15 16:26:24.542142
0,0,0,23.433125,31679,17.032255369133956,1012.2365001188871,8.441498493239783,1676507185.7356517,2023-02-15 16:26:25.735659
0,0,0,23.4317578125,31561,17.022609460875287,1012.2358742326927,8.44671364918024,1676507186.9370832,2023-02-15 16:26:26.937092
0,0,0,23.4282421875,31893,17.017641793267845,1012.23160560919,8.4822817460621,1676507188.1359375,2023-02-15 16:26:28.135943
0,0,0,23.426484375,32014,17.01755177040198,1012.2353939873714,8.450715263804193,1676507189.3291972,2023-02-15 16:26:29.329204
0,1,1,23.42453125,32208,17.007877299510884,1012.2303902054005,8.492409060994813,1676507190.5275095,2023-02-15 16:26:30.527516
0,1,1,23.422578125,32159,16.99820373146208,1012.2270786247814,8.520002755272781,1676507191.7214348,2023-02-15 16:26:31.721441
0,1,1,23.4204296875,32282,16.99809382104866,1012.2285124355485,8.50805554026296,1676507192.915989,2023-02-15 16:26:32.915997
1,1,1,23.419453125,32405,16.99804386258649,1012.2387018989239,8.423152325267582,1676507194.109297,2023-02-15 16:26:34.109305
1,1,1,23.4173046875,32705,16.993147525288855,1012.2418278097929,8.397105961553459,1676507195.3024395,2023-02-15 16:26:35.302448
1,1,1,23.41515625,32908,16.99782405141668,1012.2415693411618,8.399259625088627,1676507196.4975028,2023-02-15 16:26:36.497511
0,1,1,23.413203125,33011,17.00729749578485,1012.2433341836149,8.384554264007425,1676507197.6917186,2023-02-15 16:26:37.691726
0,1,1,23.411640625,33088,16.988071698366458,1012.2406848534337,8.406629532335488,1676507198.8879023,2023-02-15 16:26:38.887908
0,1,1,23.408515625,32985,16.987911928352446,1012.2353861991728,8.450780158501091,1676507200.0827389,2023-02-15 16:26:40.082745
1,1,1,23.4063671875,33270,16.987802089498274,1012.2317433790889,8.481133783207897,1676507201.276743,2023-02-15 16:26:41.276749
1,1,1,23.4044140625,33375,16.982916373878197,1012.2335081497465,8.466428904779995,1676507202.4703865,2023-02-15 16:26:42.470392
1,1,1,23.402265625,33480,16.978020930890608,1012.2349417250689,8.454483713052529,1676507203.6694102,2023-02-15 16:26:43.669418
0,0,0,23.400703125,33640,16.94923159544897,1012.232292383809,8.476559221890254,1676507204.8634315,2023-02-15 16:26:44.863440
0,0,0,23.39875,33963,16.953916342497607,1012.2323649619389,8.475954467483826,1676507206.0646026,2023-02-15 16:26:46.064611
0,0,0,23.3966015625,33828,16.958591272130306,1012.2253378726813,8.534507574523222,1676507207.2656715,2023-02-15 16:26:47.265680
1,1,1,23.3946484375,34018,16.9632763202813,1012.2220262056439,8.562102100402175,1676507208.460927,2023-02-15 16:26:48.460932
1,1,1,23.3938671875,34018,16.958451706552115,1012.2274699910755,8.516741697869762,1676507209.6546457,2023-02-15 16:26:49.654652
1,1,1,23.3934765625,34127,16.958431768938418,1012.2268076540838,8.522260617649962,1676507210.847891,2023-02-15 16:26:50.847896
1,1,1,23.3919140625,34293,16.9487832133521,1012.2292346311739,8.50203785705688,1676507212.041054,2023-02-15 16:26:52.041059
1,1,1,23.3909375,34488,16.95830217643617,1012.2428077358387,8.388940831653265,1676507213.2402709,2023-02-15 16:26:53.240279
1,1,1,23.388984375,34573,16.948633761818414,1012.2394959936261,8.416535598307647,1676507214.4407182,2023-02-15 16:26:54.440727
1,1,1,23.387421875,34857,16.943770011176376,1012.2419228932747,8.396313688239172,1676507215.635424,2023-02-15 16:26:55.635433
1,1,1,23.3856640625,34943,16.94846438895358,1012.2406344085538,8.407049859511236,1676507216.835735,2023-02-15 16:26:56.835744
1,1,1,23.384296875,35088,16.953178853675563,1012.2366240911008,8.440465503157784,1676507218.0354192,2023-02-15 16:26:58.035428
1,1,1,23.3825390625,35263,16.94352100248008,1012.2336435184556,8.4653009514752,1676507219.2282999,2023-02-15 16:26:59.228309
1,1,1,23.3815625,35001,16.948255171776776,1012.2404480540494,8.408602640871111,1676507220.4219346,2023-02-15 16:27:00.421944
1,1,1,23.3786328125,35175,16.933754541271924,1012.2439407727338,8.379499929811853,1676507221.6163666,2023-02-15 16:27:01.616376
0,1,1,23.3774609375,35470,16.9384783303191,1012.243645769292,8.381958011816184,1676507222.8163664,2023-02-15 16:27:02.816375
0,1,1,23.3755078125,35351,16.938378760870982,1012.2284895145604,8.508246529079317,1676507224.0174432,2023-02-15 16:27:04.017451
0,0,0,23.3739453125,35470,16.93351563549957,1012.2292242337431,8.502124493457032,1676507225.2188535,2023-02-15 16:27:05.218862
0,0,0,23.3727734375,35799,16.94302302326846,1012.235697468761,8.448186523597128,1676507226.4201448,2023-02-15 16:27:06.420154
0,0,0,23.370234375,35890,16.938109933530175,1012.2347762510138,8.455862516299849,1676507227.6215134,2023-02-15 16:27:07.621522
0,1,1,23.3692578125,35890,16.93327674145082,1012.233120354169,8.469660193595324,1676507228.8224678,2023-02-15 16:27:08.822476
0,1,1,23.3680859375,35860,16.947567807154407,1012.2345173718733,8.458019612531153,1676507230.0156271,2023-02-15 16:27:10.015636
0,1,1,23.36671875,35981,16.947498079929723,1012.2288150260954,8.505534209070483,1676507231.2163324,2023-02-15 16:27:11.216341
0,1,1,23.365546875,36321,16.95222227766609,1012.2285199929381,8.507992568422791,1676507232.4089854,2023-02-15 16:27:12.408993
0,0,0,23.3649609375,36227,16.96176089895061,1012.2359866467152,8.445776966469234,1676507233.6018534,2023-02-15 16:27:13.601862
0,0,0,23.3641796875,36352,16.966505571410124,1012.2329698836005,8.470913982954501,1676507234.8014188,2023-02-15 16:27:14.801427
0,0,0,23.36203125,36414,16.975965530190823,1012.2360950162536,8.444873984246762,1676507235.9942353,2023-02-15 16:27:15.994244
0,0,0,23.3618359375,36477,16.98074067012981,1012.2357638334099,8.44763354428442,1676507237.1938899,2023-02-15 16:27:17.193898
0,0,0,23.360859375,36540,16.995047288984996,1012.2307238643798,8.48962885676994,1676507238.3870077,2023-02-15 16:27:18.387017
0,0,0,23.3598828125,36571,17.009355633138984,1012.2324520067248,8.475229170282951,1676507239.5806527,2023-02-15 16:27:19.580662
0,0,0,23.3583203125,36635,17.014062160517085,1012.2348786108106,8.455009609032377,1676507240.7736478,2023-02-15 16:27:20.773657
0,0,0,23.357734375,36825,17.037967489522284,1012.2406531387576,8.406893791862963,1676507241.966745,2023-02-15 16:27:21.966754
0,0,0,23.356171875,36890,17.047462913411287,1012.2346196215362,8.457167622771522,1676507243.161482,2023-02-15 16:27:23.161490
0,0,0,23.3548046875,36954,17.0665461267572,1012.232301330521,8.476484673763165,1676507244.361143,2023-02-15 16:27:24.361151
0,1,1,23.354609375,37051,17.08090317325964,1012.2387381926062,8.422849911137464,1676507245.553636,2023-02-15 16:27:25.553644
0,1,1,23.353828125,37051,17.100021905184605,1012.2475655073125,8.349297296182412,1676507246.7531168,2023-02-15 16:27:26.753125
0,1,1,23.3520703125,37148,17.104721735385525,1012.2513528268041,8.317740038273216,1676507247.9526498,2023-02-15 16:27:27.952657
0,1,1,23.350703125,37213,17.1190231576414,1012.2490344887751,8.33705722243894,1676507249.1521232,2023-02-15 16:27:29.152131
0,1,1,23.349921875,37312,17.12856508438292,1012.2460177247541,8.362193984122166,1676507250.3515964,2023-02-15 16:27:30.351604
0,1,1,23.3489453125,37411,17.142889462149647,1012.2460537707432,8.361893635629853,1676507251.551244,2023-02-15 16:27:31.551252
0,1,1,23.3469921875,37710,17.152372891563093,1012.2495098347661,8.33309647439193,1676507252.7506685,2023-02-15 16:27:32.750677
0,1,1,23.3469921875,37710,17.152372891563093,1012.244433857168,8.375391362178549,1676507253.9502964,2023-02-15 16:27:33.950304
0,0,0,23.3454296875,37845,17.166669871870038,1012.2485522839794,8.341075121970668,1676507255.142845,2023-02-15 16:27:35.142853
0,0,0,23.3442578125,37912,17.171402315904412,1012.243181157063,8.38582934057314,1676507256.3422408,2023-02-15 16:27:36.342248
0,0,0,23.34328125,37610,17.17614500978728,1012.2449091649559,8.371430917879078,1676507257.5355554,2023-02-15 16:27:37.535564
0,1,1,23.3426953125,38049,17.17611477210425,1012.2523754949486,8.309218829434638,1676507258.736934,2023-02-15 16:27:38.736942
0,1,1,23.3407421875,38151,17.176013981167664,1012.2541394762545,8.2945207708199,1676507259.9304135,2023-02-15 16:27:39.930421
0,1,1,23.34015625,38533,17.16160523151276,1012.2582218135448,8.26050550530156,1676507261.1313536,2023-02-15 16:27:41.131362
0,1,1,23.33859375,38151,17.166317278532592,1012.2538802613111,8.296680631657294,1676507262.3254437,2023-02-15 16:27:42.325452
0,1,1,23.33859375,38393,17.166317278532592,1012.2572642038201,8.268484588364805,1676507263.5262887,2023-02-15 16:27:43.526297
