PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,TimeinSeconds,Time
10,14,14,21.7841015625,52400,32.21011895494578,996.8403190498788,137.5264375118851,1677111043.3625052,2023-02-22 16:10:43.362514
10,14,14,21.85734375,50920,32.25414770625312,996.8583222042821,137.37455529260146,1677111044.562755,2023-02-22 16:10:44.562764
10,14,14,21.924140625,51321,32.48049249210324,996.8553935805684,137.39926224872596,1677111045.7622533,2023-02-22 16:10:45.762261
10,14,14,21.97765625,52174,32.76536933692025,996.8504668624938,137.4408260027346,1677111046.9568303,2023-02-22 16:10:46.956839
10,14,14,22.0341015625,49782,32.889100641343326,996.8554926727339,137.39842626949385,1677111048.1566868,2023-02-22 16:10:48.156696
10,14,14,22.089375,49578,33.36987485838648,996.8602320367288,137.35844326922407,1677111049.3506079,2023-02-22 16:10:49.350616
9,13,13,22.146796875,49347,33.97755947010689,996.8584262425991,137.3736775878469,1677111050.5501397,2023-02-22 16:10:50.550147
9,13,13,22.1887890625,50920,34.48269404961442,996.8577967749286,137.37898800523075,1677111051.749569,2023-02-22 16:10:51.749577
9,13,13,22.2305859375,50676,34.59033077696391,996.8585208277043,137.37287963385765,1677111052.94233,2023-02-22 16:10:52.942339
9,12,13,22.2880078125,50646,34.59569411672871,996.8566787981852,137.38841966887892,1677111054.141825,2023-02-22 16:10:54.141833
9,12,13,22.34328125,51135,34.67190236099368,996.8613583309981,137.3489414633212,1677111055.3411517,2023-02-22 16:10:55.341159
9,12,13,22.405390625,52727,34.59027629928408,996.8656408443825,137.31281278656758,1677111056.53396,2023-02-22 16:10:56.533968
8,11,12,22.466328125,53090,34.15946539248239,996.8730132074468,137.25061742665085,1677111057.73348,2023-02-22 16:10:57.733488
8,11,12,22.504609375,55237,33.450929743456975,996.8745622938379,137.23754893887744,1677111058.9264066,2023-02-22 16:10:58.926415
8,11,12,22.5423046875,56641,32.578449829408086,996.8751250331791,137.23280153038107,1677111060.121073,2023-02-22 16:11:00.121081
8,11,12,22.5844921875,57409,31.518682089187855,996.864615319314,137.321464438386,1677111061.315201,2023-02-22 16:11:01.315210
8,11,12,22.6430859375,57683,30.494507843752416,996.8747786269948,137.23572389851415,1677111062.514672,2023-02-22 16:11:02.514679
8,11,12,22.706171875,57840,29.54120653318357,996.8569640194224,137.3860134366391,1677111063.7074955,2023-02-22 16:11:03.707504
8,10,11,22.7493359375,58641,28.749953889698922,996.8497425901353,137.4469362665636,1677111064.9069626,2023-02-22 16:11:04.906970
8,10,11,22.7981640625,57761,27.994866709950557,996.8401557543632,137.5278151520358,1677111066.0996342,2023-02-22 16:11:06.099642
8,10,11,22.8466015625,58601,27.389228236419463,996.8231448152527,137.67132868360088,1677111067.2925217,2023-02-22 16:11:07.292530
7,9,10,22.8989453125,58278,27.09731610071227,996.8751779748188,137.23235490170603,1677111068.4855745,2023-02-22 16:11:08.485582
7,9,10,22.99953125,56452,26.690641034369907,996.9233610550656,136.82587856416126,1677111069.6850414,2023-02-22 16:11:09.685050
7,9,10,23.0657421875,58078,26.51473366234749,996.91911816044,136.86167132552336,1677111070.884385,2023-02-22 16:11:10.884393
6,7,8,23.0844921875,60226,26.25810481962036,996.9098948825371,136.9394786762735,1677111072.0837126,2023-02-22 16:11:12.083720
6,7,8,23.1149609375,58845,25.77658256844101,996.9016644553458,137.00891085441296,1677111073.2768464,2023-02-22 16:11:13.276855
6,7,8,23.1821484375,55491,25.478715703340974,996.8973266329278,137.04550506624958,1677111074.4770713,2023-02-22 16:11:14.477079
5,7,7,23.2610546875,52239,25.766772634098782,996.9074821751196,136.95983231424816,1677111075.6782563,2023-02-22 16:11:15.678264
5,7,7,23.326875,52596,26.74132639486269,996.9109618213166,136.9304779765559,1677111076.8764255,2023-02-22 16:11:16.876434
5,7,7,23.4016796875,53594,27.697893423688768,996.9294374373794,136.7746188441146,1677111078.0793612,2023-02-22 16:11:18.079369
5,7,8,23.5212109375,54526,28.22461217283118,996.9803462506712,136.3451674049546,1677111079.2849114,2023-02-22 16:11:19.284919
5,7,8,23.6235546875,54561,28.33230660874072,996.9229787970231,136.8291032611279,1677111080.4850655,2023-02-22 16:11:20.485074
5,7,8,23.6841015625,55201,28.33190891464463,996.8955515697725,137.0604796761147,1677111081.6781452,2023-02-22 16:11:21.678154
5,7,8,23.7087109375,56452,28.33911993676244,996.8774440943198,137.21323737897225,1677111082.8712234,2023-02-22 16:11:22.871233
5,7,8,23.7169140625,56452,28.151196927580504,996.8691513501873,137.28319711076162,1677111084.0642657,2023-02-22 16:11:24.064275
5,7,8,23.6721875,57448,27.604365847807795,996.8113558691066,137.77078780655177,1677111085.25734,2023-02-22 16:11:25.257349
5,8,9,23.6305859375,57643,27.46564439035529,996.780773082945,138.02880827738244,1677111086.4501426,2023-02-22 16:11:26.450151
5,8,9,23.6192578125,58601,27.303425444832865,996.8227527596329,137.67463630135717,1677111087.6430779,2023-02-22 16:11:27.643087
5,8,9,23.67296875,55820,27.006210998456858,996.868493704486,137.28874519995196,1677111088.8359044,2023-02-22 16:11:28.835913
5,8,9,23.67453125,56565,26.8973767374118,996.8474172681881,137.46655367707197,1677111090.0288947,2023-02-22 16:11:30.028903
5,8,9,23.638984375,58520,26.956899363550324,996.8218717672981,137.6820688880853,1677111091.2284465,2023-02-22 16:11:31.228454
5,8,9,23.573359375,60098,26.687575389030698,996.7917501099696,137.93619669452866,1677111092.4280026,2023-02-22 16:11:32.428011
5,8,9,23.50265625,60832,26.253265808012166,996.7683546178753,138.13358205927642,1677111093.627424,2023-02-22 16:11:33.627432
5,8,9,23.47140625,59885,25.76169987786153,996.7635032983816,138.17451261333522,1677111094.8217835,2023-02-22 16:11:34.821792
5,8,9,23.484296875,58358,25.582857732690783,996.8002633891177,137.8643719632717,1677111096.0155287,2023-02-22 16:11:36.015537
5,8,9,23.51125,58479,25.61050324967447,996.8283824127211,137.62714125227154,1677111097.2096987,2023-02-22 16:11:37.209707
5,8,9,23.541328125,57722,25.65893322136197,996.8515724714532,137.43149863115866,1677111098.4095798,2023-02-22 16:11:38.409589
5,8,9,23.5753125,58278,25.759075941983177,996.8643706358167,137.32352866634054,1677111099.6035314,2023-02-22 16:11:39.603539
6,9,9,23.62453125,56340,25.89131232042785,996.8924665568425,137.0865052043383,1677111100.802984,2023-02-22 16:11:40.802992
6,9,9,23.669453125,57370,26.16257282316501,996.8947666231232,137.0671015712418,1677111101.9957469,2023-02-22 16:11:41.995755
6,9,9,23.6864453125,58039,26.39098689440575,996.8994670236,137.0274485457139,1677111103.1900208,2023-02-22 16:11:43.190029
